joint id: 5, measured_angle: -0.000542, target_angle: -0.009842, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.017545, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.007468, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.011063, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001449, target_angle: 0.007698, newest_measurement_index: 11550
joint id: 1, measured_angle: -0.106568, target_angle: -0.097247, newest_measurement_index: 11664
joint id: 2, measured_angle: -0.002774, target_angle: -0.012060, newest_measurement_index: 11664
joint id: 3, measured_angle: -0.001135, target_angle: 0.008430, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.107550, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.010142, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.017845, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.007768, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.011363, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001449, target_angle: 0.007998, newest_measurement_index: 11551
joint id: 1, measured_angle: -0.106568, target_angle: -0.096947, newest_measurement_index: 11665
joint id: 2, measured_angle: -0.002774, target_angle: -0.012360, newest_measurement_index: 11665
joint id: 3, measured_angle: -0.001135, target_angle: 0.008730, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.107250, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.010442, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.018145, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.008068, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.011663, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001414, target_angle: 0.008298, newest_measurement_index: 11552
joint id: 1, measured_angle: -0.106533, target_angle: -0.096647, newest_measurement_index: 11666
joint id: 2, measured_angle: -0.002809, target_angle: -0.012660, newest_measurement_index: 11666
joint id: 3, measured_angle: -0.001135, target_angle: 0.009030, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.106950, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.010742, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.018445, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.008368, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.011963, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001414, target_angle: 0.008598, newest_measurement_index: 11553
joint id: 1, measured_angle: -0.106533, target_angle: -0.096347, newest_measurement_index: 11666
joint id: 2, measured_angle: -0.002809, target_angle: -0.012960, newest_measurement_index: 11666
joint id: 3, measured_angle: -0.001135, target_angle: 0.009330, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.106650, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.011042, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.018745, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.008668, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.012263, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001379, target_angle: 0.008898, newest_measurement_index: 11554
joint id: 1, measured_angle: -0.106533, target_angle: -0.096047, newest_measurement_index: 11667
joint id: 2, measured_angle: -0.002844, target_angle: -0.013260, newest_measurement_index: 11667
joint id: 3, measured_angle: -0.001135, target_angle: 0.009630, newest_measurement_index: 9441
joint id: 4, measured_angle: -0.117150, target_angle: -0.106350, newest_measurement_index: 9551
joint id: 5, measured_angle: -0.000542, target_angle: -0.011342, newest_measurement_index: 9551
joint id: 6, measured_angle: 0.008245, target_angle: 0.019045, newest_measurement_index: 9218
joint id: 7, measured_angle: -0.001832, target_angle: 0.008968, newest_measurement_index: 9322
joint id: 8, measured_angle: -0.001763, target_angle: -0.012563, newest_measurement_index: 9322
joint id: 0, measured_angle: -0.001344, target_angle: 0.009198, newest_measurement_index: 11555
