joint id: 1, measured_angle: -0.010116, target_angle: 0.000036, newest_measurement_index: 10076
joint id: 2, measured_angle: 0.016215, target_angle: 0.006308, newest_measurement_index: 10076
joint id: 3, measured_angle: 0.001550, target_angle: 0.012050, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.011841, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.012914, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.033794, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.010949, newest_measurement_index: 5071
joint id: 8, measured_angle: -0.005215, target_angle: -0.015715, newest_measurement_index: 5071
joint id: 0, measured_angle: -0.010569, target_angle: -0.000187, newest_measurement_index: 10000
joint id: 1, measured_angle: -0.009364, target_angle: 0.000336, newest_measurement_index: 10077
joint id: 2, measured_angle: 0.016180, target_angle: 0.006008, newest_measurement_index: 10077
joint id: 3, measured_angle: 0.001550, target_angle: 0.012350, newest_measurement_index: 5245
joint id: 4, measured_angle: 0.001341, target_angle: 0.012141, newest_measurement_index: 5268
joint id: 5, measured_angle: 0.023414, target_angle: 0.012614, newest_measurement_index: 5268
joint id: 6, measured_angle: 0.023294, target_angle: 0.034094, newest_measurement_index: 4997
joint id: 7, measured_angle: -0.021449, target_angle: -0.010649, newest_measurement_index: 5071
joint id: 8, measured_angle: -0.005215, target_angle: -0.016015, newest_measurement_index: 5071
joint id: 0, measured_angle: -0.010569, target_angle: 0.000113, newest_measurement_index: 10001
