joint id: 2, measured_angle: -0.002495, target_angle: -0.011481, newest_measurement_index: 11922
joint id: 3, measured_angle: -0.001030, target_angle: 0.008270, newest_measurement_index: 9513
joint id: 4, measured_angle: -0.107595, target_angle: -0.098295, newest_measurement_index: 9621
joint id: 5, measured_angle: -0.000507, target_angle: -0.009807, newest_measurement_index: 9621
joint id: 6, measured_angle: 0.008280, target_angle: 0.017580, newest_measurement_index: 9301
joint id: 7, measured_angle: -0.001972, target_angle: 0.007293, newest_measurement_index: 9405
joint id: 8, measured_angle: -0.001867, target_angle: -0.011167, newest_measurement_index: 9405
joint id: 0, measured_angle: -0.001728, target_angle: 0.006737, newest_measurement_index: 11806
joint id: 1, measured_angle: -0.098199, target_angle: -0.088983, newest_measurement_index: 11923
joint id: 2, measured_angle: -0.002530, target_angle: -0.011781, newest_measurement_index: 11923
joint id: 3, measured_angle: -0.001030, target_angle: 0.008570, newest_measurement_index: 9514
joint id: 4, measured_angle: -0.107595, target_angle: -0.097995, newest_measurement_index: 9621
joint id: 5, measured_angle: -0.000507, target_angle: -0.010107, newest_measurement_index: 9621
joint id: 6, measured_angle: 0.008280, target_angle: 0.017880, newest_measurement_index: 9302
joint id: 7, measured_angle: -0.001972, target_angle: 0.007593, newest_measurement_index: 9405
joint id: 8, measured_angle: -0.001867, target_angle: -0.011467, newest_measurement_index: 9405
joint id: 0, measured_angle: -0.001693, target_angle: 0.007037, newest_measurement_index: 11807
joint id: 1, measured_angle: -0.098164, target_angle: -0.088683, newest_measurement_index: 11924
joint id: 2, measured_angle: -0.002530, target_angle: -0.012081, newest_measurement_index: 11924
joint id: 3, measured_angle: -0.001030, target_angle: 0.008870, newest_measurement_index: 9514
joint id: 4, measured_angle: -0.107595, target_angle: -0.097695, newest_measurement_index: 9621
joint id: 5, measured_angle: -0.000507, target_angle: -0.010407, newest_measurement_index: 9621
joint id: 6, measured_angle: 0.008280, target_angle: 0.018180, newest_measurement_index: 9302
joint id: 7, measured_angle: -0.001972, target_angle: 0.007893, newest_measurement_index: 9405
joint id: 8, measured_angle: -0.001867, target_angle: -0.011767, newest_measurement_index: 9405
joint id: 0, measured_angle: -0.001658, target_angle: 0.007337, newest_measurement_index: 11808
joint id: 1, measured_angle: -0.098164, target_angle: -0.088383, newest_measurement_index: 11925
joint id: 2, measured_angle: -0.002565, target_angle: -0.012381, newest_measurement_index: 11925
joint id: 3, measured_angle: -0.001030, target_angle: 0.009170, newest_measurement_index: 9514
joint id: 4, measured_angle: -0.107595, target_angle: -0.097395, newest_measurement_index: 9622
joint id: 5, measured_angle: -0.000507, target_angle: -0.010707, newest_measurement_index: 9622
joint id: 6, measured_angle: 0.008280, target_angle: 0.018480, newest_measurement_index: 9303
joint id: 7, measured_angle: -0.001937, target_angle: 0.008193, newest_measurement_index: 9406
